0000,285
0001,0
0002,8618
0003,0
0004,0
0005,0
0006,0
0007,0
0008,0
0009,0
000a,0
000b,0
000c,0
000d,0
000e,0
000f,0
0010,0
0011,0
0012,0
0013,0
0014,0
0015,0
0016,0
0017,0
0018,0
0019,0
001a,0
001b,0
001c,0
001d,0
001e,0
001f,0
0020,0
0021,0
0022,0
0023,0
0024,0
0025,0
0026,0
0027,0
0028,0
0029,0
002a,0
002b,0
002c,0
002d,0
002e,0
002f,0
0030,0
0031,0
0032,0
0033,0
0034,0
0035,0
0036,0
0037,0
0038,0
0039,0
003a,0
003b,0
003c,0
003d,0
003e,0
003f,0
0040,0
0041,0
0042,0
0043,0
0044,0
0045,0
0046,0
0047,0
0048,0
0049,0
004a,0
004b,0
004c,0
004d,0
004e,0
004f,0
0050,0
0051,0
0052,0
0053,0
0054,0
0055,0
0056,0
0057,0
0058,0
0059,0
005a,0
005b,0
005c,0
005d,0
005e,0
005f,0
0060,0
0061,0
0062,0
0063,0
0064,0
0065,0
0066,0
0067,0
0068,0
0069,0
006a,0
006b,0
006c,0
006d,0
006e,0
006f,0
0070,0
0071,0
0072,0
0073,0
0074,0
0075,0
0076,0
0077,0
0078,0
0079,0
007a,0
007b,0
007c,0
007d,0
007e,0
007f,0
0080,376
0081,0
0082,0
0083,0
0084,0
0085,0
0086,0
0087,0
0088,0
0089,0
008a,0
008b,0
008c,0
008d,0
008e,0
008f,0
0090,0
0091,0
0092,0
0093,0
0094,0
0095,0
0096,0
0097,0
0098,0
0099,0
009a,0
009b,0
009c,0
009d,0
009e,0
009f,0
00a0,0
00a1,0
00a2,0
00a3,0
00a4,0
00a5,0
00a6,0
00a7,0
00a8,0
00a9,0
00aa,0
00ab,0
00ac,0
00ad,0
00ae,0
00af,0
00b0,0
00b1,0
00b2,0
00b3,0
00b4,0
00b5,0
00b6,0
00b7,0
00b8,0
00b9,0
00ba,0
00bb,0
00bc,0
00bd,0
00be,0
00bf,0
00c0,0
00c1,0
00c2,0
00c3,0
00c4,0
